,QA,ANS,TAG
422,which movies are about [thomas vinterberg],The Hunt|The Celebration|Submarino,has_tags_inv
423,which movies can be described by [kelly macdonald],Trainspotting|Intermission|The Girl in the Café,has_tags_inv
424,what films are about [harry beaumont],The Broadway Melody|Our Dancing Daughters|Are You Listening?,has_tags_inv
425,what movies can be described with [radio dj],"Good Morning, Vietnam",has_tags_inv
426,what films can be described by [peter strickland],Berberian Sound Studio|Katalin Varga,has_tags_inv
427,what movies can be described with [guy maddin],The Saddest Music in the World|My Winnipeg|Careful,has_tags_inv
428,which films are about [manga],Akira|Tekkonkinkreet|King of Thorn,has_tags_inv
429,which films can be described by [matthew vaughn],Kick-Ass|Stardust|Layer Cake,has_tags_inv
430,which movies are about [necrophilia],Nekromantik|Kissed,has_tags_inv
431,what movies can be described by [john duigan],Lawn Dogs|Flirting|The Year My Voice Broke,has_tags_inv
432,what films are about [amanda peet],2012|Identity|Syriana|The Whole Nine Yards|Battle for Terra|Please Give,has_tags_inv
433,which movies are about [andrew dominik],The Assassination of Jesse James by the Coward Robert Ford|Killing Them Softly|Chopper,has_tags_inv
434,what movies can be described by [justin bartha],The Hangover|National Treasure,has_tags_inv
435,what movies can be described by [roger michell],Notting Hill|Changing Lanes|Venus|Persuasion|Le Week-End|The Mother,has_tags_inv
436,which films can be described by [e.m. forster],A Passage to India,has_tags_inv
437,what films are about [christopher lee],The Man with the Golden Gun|The Wicker Man|The Last Unicorn|The Hound of the Baskervilles|The Devil Rides Out|The Mummy|Dracula Has Risen from the Grave|The Satanic Rites of Dracula|The City of the Dead|Dracula A.D. 1972|Taste the Blood of Dracula|Count Dracula|Circle of Iron,has_tags_inv
438,which films can be described by [tura satana],"Faster, Pussycat! Kill! Kill!",has_tags_inv
439,which films can be described by [antarctica],The Thing|March of the Penguins|Encounters at the End of the World,has_tags_inv
440,which films can be described by [david wenham],The Proposition,has_tags_inv
441,which films are about [will ferrell],Wedding Crashers|Step Brothers|Old School|The Other Guys|Megamind|Elf|Blades of Glory|The Campaign|Semi-Pro|Bewitched|Land of the Lost|A Night at the Roxbury|Everything Must Go|Superstar|Tim and Eric's Billion Dollar Movie|Winter Passing,has_tags_inv
442,which films can be described by [george p. cosmatos],Tombstone|Cobra,has_tags_inv
443,what movies can be described by [william sadler],Die Hard 2,has_tags_inv
444,which films are about [matt dillon],"Crash|There's Something About Mary|Wild Things|You, Me and Dupree|The Outsiders|Takers|One Night at McCool's|Armored|Beautiful Girls|Singles|Factotum|City of Ghosts|Tex",has_tags_inv
445,what films are about [gonzo],Fear and Loathing in Las Vegas,has_tags_inv
446,what films are about [niels arestrup],The French Minister|You Will Be My Son,has_tags_inv
447,what films can be described by [danny trejo],Predators|Machete|Spy Kids|Death Race 2|Bad Ass,has_tags_inv
448,what films are about [howard hughes],The Aviator|Hell's Angels,has_tags_inv
449,what films are about [myth],Hercules,has_tags_inv
450,what movies can be described with [lolita],Lolita,has_tags_inv
451,which movies are about [hirokazu koreeda],"Nobody Knows|Like Father, Like Son|After Life|Air Doll|I Wish|Maborosi",has_tags_inv
452,which movies can be described by [historical drama],The Imitation Game|Ben-Hur,has_tags_inv
453,what films can be described by [bob clark],A Christmas Story|Black Christmas|Baby Geniuses,has_tags_inv
454,which movies are about [george miller],Happy Feet|Mad Max|Happy Feet Two,has_tags_inv
455,what movies are about [nicole holofcener],Enough Said|Friends with Money|Please Give|Walking and Talking,has_tags_inv
456,what movies are about [anthony minghella],The English Patient|The Talented Mr. Ripley|Cold Mountain,has_tags_inv
457,which movies are about [alzheimer's disease],A Separation|Still Alice|Iris|Wrinkles,has_tags_inv
458,what movies are about [spy thriller],The Bourne Ultimatum|Ronin|Traitor,has_tags_inv
459,what films are about [danny mcbride],This Is the End|30 Minutes or Less|The Heartbreak Kid|Hot Rod|Land of the Lost|Clear History|The Foot Fist Way,has_tags_inv
460,what movies can be described with [amanda seyfried],In Time|Mean Girls|Mamma Mia!|Jennifer's Body|Dear John|Red Riding Hood|Letters to Juliet|Chloe|Lovelace,has_tags_inv
461,what films can be described by [susumu hirasawa],Paprika,has_tags_inv
462,what films are about [indians],Dances with Wolves,has_tags_inv
463,which movies are about [robert rodriguez],Sin City|Machete|Planet Terror|Grindhouse|Desperado|Once Upon a Time in Mexico|The Faculty|Spy Kids|Four Rooms|Machete Kills,has_tags_inv
464,what movies are about [hairdresser],The Hairdresser's Husband,has_tags_inv
465,what movies can be described with [farm],Straw Dogs|Secondhand Lions|Animal Farm,has_tags_inv
466,which films can be described by [olivia williams],The Ghost Writer|Rushmore|The Man from Elysian Fields,has_tags_inv
467,which films are about [seattle],Chronicle|Sleepless in Seattle,has_tags_inv
468,which movies are about [kate mara],Ironclad,has_tags_inv
469,what films can be described by [michael jai white],Black Dynamite|Blood and Bone,has_tags_inv
470,which films can be described by [length],The Godfather|Watchmen,has_tags_inv
471,what films are about [joe mantegna],Searching for Bobby Fischer|House of Games|Homicide,has_tags_inv
472,what films can be described by [duncan jones],Source Code|Moon,has_tags_inv
473,which films can be described by [todd field],Little Children|In the Bedroom,has_tags_inv
474,which movies can be described by [rose byrne],Bridesmaids|Sunshine|Insidious|Get Him to the Greek|Wicker Park|Adam|The Dead Girl|Two Hands|I Capture the Castle,has_tags_inv
475,what films can be described by [aaliyah],Queen of the Damned,has_tags_inv
476,what movies can be described by [tyrese gibson],Transformers|Waist Deep,has_tags_inv
477,what movies can be described by [aleksandr sokurov],Mother and Son|The Sun,has_tags_inv
478,what films are about [zach braff],Garden State|Oz the Great and Powerful|The Last Kiss|The Ex,has_tags_inv
479,what films can be described by [john],A Man Escaped,has_tags_inv
480,what films are about [mossad],Munich|The Debt,has_tags_inv
481,which movies can be described by [alice eve],Star Trek Into Darkness|She's Out of My League,has_tags_inv
482,what films are about [john gray],The Glimmer Man|The Day Lincoln Was Shot,has_tags_inv
483,what movies are about [brett morgen],The Kid Stays in the Picture|Crossfire Hurricane|Chicago 10,has_tags_inv
484,which movies can be described by [diane lane],Jumper|The Perfect Storm|Under the Tuscan Sun|Hollywoodland|The Glass House|Must Love Dogs|A Walk on the Moon|A Little Romance|Cinema Verite,has_tags_inv
485,which films can be described by [ira],In the Name of the Father|The Crying Game,has_tags_inv
486,what movies are about [action scenes],The Matrix,has_tags_inv
487,which films can be described by [coup],Machuca,has_tags_inv
488,which films can be described by [luc besson],The Fifth Element|Lucy|The Transporter|Transporter 2|La Femme Nikita|The Big Blue|Arthur and the Invisibles|Angel-A|The Extraordinary Adventures of Adèle Blanc-Sec,has_tags_inv
489,what movies can be described with [warm],The Shawshank Redemption,has_tags_inv
490,which films are about [zombie],Shaun of the Dead|Dawn of the Dead|Night of the Living Dead|Land of the Dead|Day of the Dead|The Return of the Living Dead|Plan 9 from Outer Space|Cemetery Man|Undead|Deadheads|Zombie Holocaust|Nightmare City|Hell of the Living Dead|Zombie Lake,has_tags_inv
491,which films are about [boris sagal],The Omega Man,has_tags_inv
492,what movies are about [terence fisher],The Hound of the Baskervilles|The Curse of Frankenstein|The Devil Rides Out,has_tags_inv
493,what movies are about [jack the ripper],From Hell|Time After Time|The Lodger|Waxworks,has_tags_inv
494,which films can be described by [paul auster],Smoke|Lulu on the Bridge|The Music of Chance,has_tags_inv
495,what films can be described by [portman],Beautiful Girls,has_tags_inv
496,what films can be described by [jean renoir],La Grande Illusion|The Rules of the Game|La Bête Humaine|The River|Boudu Saved from Drowning|French Cancan|La Chienne|The Lower Depths|This Land Is Mine|The Crime of Monsieur Lange|The Southerner|The Golden Coach|Elena and Her Men|Swamp Water|Toni|La Marseillaise|Picnic on the Grass,has_tags_inv
497,which films can be described by [christopher miller],The Lego Movie|22 Jump Street,has_tags_inv
498,what movies are about [joel gallen],Not Another Teen Movie,has_tags_inv
499,which movies can be described by [samuel l. jackson],Pulp Fiction|The Avengers|Django Unchained|Iron Man 2|Unbreakable|Jumper|Jackie Brown|1408|S.W.A.T.|Snakes on a Plane|The Negotiator|Deep Blue Sea|A Time to Kill|Coach Carter|Sphere|Unthinkable|The Long Kiss Goodnight|Shaft|Changing Lanes|The Spirit|Black Snake Moan|Basic|Lakeview Terrace|Rules of Engagement|Loaded Weapon 1|Hard Eight|The Man|The Sunset Limited|Resurrecting the Champ|One Eight Seven|Twisted|Kiss of Death|Freedomland|Meeting Evil|Mother and Child|The Great White Hype|Eve's Bayou|No Good Deed|The Caveman's Valentine|In My Country,has_tags_inv
500,which films can be described by [harvey keitel],Reservoir Dogs|Taxi Driver|National Treasure|Red Dragon|Mean Streets|The Piano|Bad Lieutenant|Smoke|Alice Doesn't Live Here Anymore,has_tags_inv
501,which films can be described by [editing],The Dark Knight|Inception|The Social Network|The Girl with the Dragon Tattoo|Cloud Atlas,has_tags_inv
502,which movies can be described by [griffin dunne],An American Werewolf in London,has_tags_inv
503,which films can be described by [melissa george],Triangle|Music Within,has_tags_inv
504,what movies can be described by [ayrton senna],Senna,has_tags_inv
505,what films can be described by [hayden panettiere],"Raising Helen|I Love You, Beth Cooper",has_tags_inv
506,which movies can be described by [mitchell leisen],"Midnight|Remember the Night|Easy Living|To Each His Own|The Mating Season|Hold Back the Dawn|No Man of Her Own|Arise, My Love|No Time for Love|Kitty",has_tags_inv
507,which movies can be described by [aladdin],Aladdin,has_tags_inv
508,which movies can be described by [tension],High Tension,has_tags_inv
509,what films are about [biology],The Story of Louis Pasteur,has_tags_inv
510,what movies are about [inspiring],Breaking Away,has_tags_inv
511,which movies can be described by [queen latifah],Chicago|Taxi|Last Holiday|The Secret Life of Bees|Mad Money|Joyful Noise,has_tags_inv
512,what movies are about [ralph nelson],Lilies of the Field|Charly|Requiem for a Heavyweight|Soldier in the Rain|Fate Is the Hunter,has_tags_inv
513,which films can be described by [treasure hunt],The Treasure Hunter,has_tags_inv
514,what films are about [alain delon],Le Samouraï|Purple Noon|Scorpio,has_tags_inv
515,what movies can be described with [robert florey],The Cocoanuts|Ex-Lady|The Face Behind the Mask,has_tags_inv
516,which movies are about [mimi leder],Deep Impact|Pay It Forward|The Peacemaker,has_tags_inv
517,which movies can be described by [apu trilogy],Pather Panchali|The World of Apu|Aparajito,has_tags_inv
518,which movies can be described by [omid djalili],The Infidel,has_tags_inv
519,which movies are about [laurent cantet],The Class|Time Out|Human Resources,has_tags_inv
520,which films can be described by [frederick forsyth],The Day of the Jackal|The Dogs of War,has_tags_inv
521,what movies can be described with [power],Spider-Man,has_tags_inv
522,which movies are about [mila kunis],Black Swan|Ted|Friends with Benefits|The Book of Eli|Forgetting Sarah Marshall|Oz the Great and Powerful|Max Payne|Extract|Boot Camp|Moving McAllister,has_tags_inv
523,which films can be described by [exploitation],"Machete|Grindhouse|Faster, Pussycat! Kill! Kill!|Chained Heat|The Arena|Bad Girls Go to Hell",has_tags_inv
524,what films can be described by [chevy chase],Hot Tub Time Machine|Caddyshack|National Lampoon's Vacation|¡Three Amigos!|Fletch|Spies Like Us|Funny Farm|Fletch Lives,has_tags_inv
525,what movies can be described by [julia ormond],Legends of the Fall|First Knight|Sabrina,has_tags_inv
526,what movies can be described with [hank azaria],The Simpsons Movie|Godzilla|The Birdcage|Quiz Show|America's Sweethearts|Shattered Glass|Homegrown,has_tags_inv
527,what films are about [bryan forbes],King Rat|The Wrong Box|Whistle Down the Wind|The L-Shaped Room|The Whisperers,has_tags_inv
528,which films can be described by [tetsuya nakashima],Confessions|Memories of Matsuko,has_tags_inv
529,which films are about [adrien brody],The Pianist|King Kong|Midnight in Paris|Predators|The Thin Red Line|The Darjeeling Limited|Splice|Detachment|The Brothers Bloom|Hollywoodland|Cadillac Records|Dummy|Oxygen,has_tags_inv
530,what movies are about [alfred e. green],Baby Face|Dangerous|The Jolson Story|Smart Money|The Dark Horse,has_tags_inv
531,what movies can be described by [telly savalas],On Her Majesty's Secret Service|The Dirty Dozen|Kelly's Heroes|The Slender Thread,has_tags_inv
532,which movies are about [alfonso cuarón],Gravity|Harry Potter and the Prisoner of Azkaban|Children of Men|Y Tu Mamá También|A Little Princess,has_tags_inv
533,which films can be described by [jerry goldsmith],Total Recall|The Sum of All Fears,has_tags_inv
534,what movies are about [medieval],A Knight's Tale|King Arthur|The Seventh Seal|The Name of the Rose|Timeline|The Virgin Spring,has_tags_inv
535,what movies can be described with [mo'nique],Precious,has_tags_inv
536,what movies can be described by [andrew garfield],The Social Network|The Amazing Spider-Man|The Amazing Spider-Man 2|The Imaginarium of Doctor Parnassus|Never Let Me Go|Boy A,has_tags_inv
537,what films are about [ludacris],Max Payne|The Wash,has_tags_inv
538,what films are about [peter bogdanovich],"The Last Picture Show|Paper Moon|Mask|What's Up, Doc?|Targets",has_tags_inv
539,which films can be described by [wolfgang petersen],Troy|Das Boot|Air Force One|The Perfect Storm|The NeverEnding Story|Outbreak|Poseidon|In the Line of Fire|Enemy Mine|Shattered,has_tags_inv
540,what movies can be described by [mtv],Æon Flux|Jackass Number Two,has_tags_inv
541,what films are about [maine],The Iron Giant,has_tags_inv
542,which movies are about [ally sheedy],The Breakfast Club|High Art,has_tags_inv
543,which movies are about [political],Forrest Gump|V for Vendetta|Changeling|White House Down|Fahrenheit 9/11|Syriana|Mr. Smith Goes to Washington|The Manchurian Candidate|Thirteen Days|The Battle of Algiers|All the King's Men,has_tags_inv
544,what movies can be described with [real estate],Glengarry Glen Ross,has_tags_inv
545,what movies can be described by [screwball comedy],"It Happened One Night|Bringing Up Baby|His Girl Friday|My Man Godfrey|The Lady Eve|What's Up, Doc?|The Awful Truth|The Palm Beach Story|Ball of Fire|Libeled Lady|Midnight",has_tags_inv
546,which movies can be described by [failure],Super Mario Bros.,has_tags_inv
547,what films are about [ian mcshane],Hot Rod,has_tags_inv
548,what movies are about [sharon maguire],Bridget Jones's Diary,has_tags_inv
549,which films can be described by [john sturges],The Great Escape|The Magnificent Seven|Bad Day at Black Rock|The Eagle Has Landed|Gunfight at the O.K. Corral|The Old Man and the Sea|Last Train from Gun Hill|Mystery Street|Kind Lady|The Magnificent Yankee,has_tags_inv
550,what movies can be described by [chuck norris],The Expendables 2|The Delta Force|Missing in Action|Lone Wolf McQuade|Sidekicks|Invasion U.S.A.|Code of Silence|Firewalker|The Octagon|Silent Rage|Top Dog|An Eye for an Eye|Breaker! Breaker!|Hero and the Terror|Forced Vengeance|Good Guys Wear Black,has_tags_inv
551,what films can be described by [diamonds],Blood Diamond,has_tags_inv
552,which movies can be described by [victor saville],The Green Years|First a Girl,has_tags_inv
553,what movies are about [anthony hopkins],The Silence of the Lambs|Thor|Hannibal|Red Dragon|Meet Joe Black|The Elephant Man|Beowulf|Fracture|The Mask of Zorro|Legends of the Fall|The Wolfman|The Rite|The Edge|The Remains of the Day|The World's Fastest Indian|A Bridge Too Far|Proof|Hearts in Atlantis|Instinct|The Human Stain|Nixon|The Lion in Winter|All the King's Men|Titus|The Bounty|Magic|Surviving Picasso,has_tags_inv
554,which movies are about [phoebe cates],Fast Times at Ridgemont High|Private School,has_tags_inv
555,which movies can be described by [time],Back to the Future|Groundhog Day|Back to the Future Part II|In Time|Back to the Future Part III|The Lake House|High Noon|Primer|Time Bandits|Timecrimes|Nick of Time|The Day of the Doctor,has_tags_inv
556,what films can be described by [frank oz],The Score|Death at a Funeral|Bowfinger|Dirty Rotten Scoundrels|What About Bob?|Little Shop of Horrors|The Dark Crystal|The Indian in the Cupboard,has_tags_inv
557,which films are about [bruce mcdonald],Pontypool|Hard Core Logo|Highway 61|Roadkill,has_tags_inv
558,what films can be described by [idi amin],The Last King of Scotland,has_tags_inv
559,which films are about [jerry lewis],The King of Comedy|The Nutty Professor|The Bellboy|The Ladies Man|Cinderfella,has_tags_inv
560,which movies can be described by [david lean],Lawrence of Arabia|The Bridge on the River Kwai|Doctor Zhivago|Great Expectations|A Passage to India|Oliver Twist|Ryan's Daughter|Summertime|Hobson's Choice|Blithe Spirit|This Happy Breed|The Passionate Friends|Madeleine|Major Barbara,has_tags_inv
561,what movies can be described with [pub crawl],The World's End,has_tags_inv
562,what movies can be described with [jacques tourneur],Out of the Past|Cat People|I Walked with a Zombie|The Leopard Man|The Flame and the Arrow|Nightfall|Canyon Passage,has_tags_inv
563,what movies are about [god],"Bruce Almighty|Dogma|Evan Almighty|The Seventh Seal|PK|The Ten Commandments|Oh, God!|God Is Brazilian",has_tags_inv
564,what movies can be described with [tuesday weld],Pretty Poison|Lord Love a Duck,has_tags_inv
565,what movies can be described with [golden palm],La Dolce Vita|Paris|Texas,has_tags_inv
566,what films are about [fay wray],King Kong|The Most Dangerous Game|Mystery of the Wax Museum|Doctor X|The Vampire Bat,has_tags_inv
567,which movies can be described by [tay garnett],The Postman Always Rings Twice|One Way Passage|China Seas|The Valley of Decision|Mrs. Parkington|Love Is News,has_tags_inv
568,what films can be described by [numbers],The Numbers Station|Drowning by Numbers,has_tags_inv
569,what films can be described by [gillian anderson],The House of Mirth,has_tags_inv
570,what movies are about [rené clément],Purple Noon|Forbidden Games|Gervaise|The Damned,has_tags_inv
571,which films can be described by [david mamet],The Untouchables|Ronin|Glengarry Glen Ross|Wag the Dog|Heist|Spartan|The Verdict|Redbelt|The Spanish Prisoner|State and Main|Hoffa|House of Games|The Postman Always Rings Twice|About Last Night|Edmond|The Winslow Boy|Homicide|Vanya on 42nd Street|American Buffalo|Things Change|Oleanna|Lakeboat,has_tags_inv
572,what films are about [harold pinter],Sleuth|The Servant|The Go-Between,has_tags_inv
573,what movies can be described with [emma roberts],We're the Millers|It's Kind of a Funny Story|The Art of Getting By|Nancy Drew|Lymelife,has_tags_inv
574,which movies can be described by [ne],Quantum of Solace|Changeling|RocknRolla|Eagle Eye|The Rocker,has_tags_inv
575,which films are about [hugh hudson],Chariots of Fire|Revolution|My Life So Far,has_tags_inv
576,what movies can be described with [natural disaster],Volcano,has_tags_inv
577,which films can be described by [time loop],Groundhog Day|Edge of Tomorrow,has_tags_inv
578,what movies are about [mark twain],Tom and Huck|The Adventures of Huck Finn|The Prince and the Pauper|The Adventures of Tom Sawyer|The Adventures of Huckleberry Finn|Huckleberry Finn,has_tags_inv
579,which movies can be described by [wrestling],Night and the City,has_tags_inv
580,which movies can be described by [tony goldwyn],The Last Samurai|Conviction,has_tags_inv
581,which films are about [bille august],Les Misérables|Pelle the Conqueror|Jerusalem,has_tags_inv
582,what films are about [dermot mulroney],My Best Friend's Wedding|The Family Stone|The Wedding Date,has_tags_inv
583,what films can be described by [robin williams],"Good Will Hunting|Dead Poets Society|Aladdin|Night at the Museum|Insomnia|Jumanji|Hook|Mrs. Doubtfire|One Hour Photo|Robots|Good Morning, Vietnam|Awakenings|What Dreams May Come|Bicentennial Man|Patch Adams|The Fisher King|The Birdcage|Flubber|Jack|RV|Death to Smoochy|License to Wed|Old Dogs|World's Greatest Dad|Nine Months|Man of the Year|The Final Cut|Toys|Popeye|The Big White|Jakob the Liar|Fathers' Day|Cadillac Man|Moscow on the Hudson|House of D|Club Paradise",has_tags_inv
584,what movies are about [impostor],Changeling|Impostor,has_tags_inv
585,which films can be described by [night],Night Train,has_tags_inv
586,what movies can be described with [king ghidorah],"Godzilla vs. King Ghidorah|Ghidorah, the Three-Headed Monster|Godzilla vs. Gigan",has_tags_inv
587,which movies are about [the rock],The Mummy Returns|The Scorpion King|The Rundown|Walking Tall,has_tags_inv
588,which movies can be described by [hannibal],The Silence of the Lambs,has_tags_inv
589,which movies are about [sigourney weaver],Avatar|Alien|Aliens|Ghostbusters|Galaxy Quest|Red Lights|The Ice Storm|Heartbreakers|Copycat|Dave|Working Girl|Baby Mama|The Year of Living Dangerously|Infamous|Snow Cake,has_tags_inv
590,what movies are about [zach galifianakis],The Hangover|The Hangover Part II|Due Date|The Hangover Part III|Puss in Boots|The Campaign|It's Kind of a Funny Story|Dinner for Schmucks|Tim and Eric's Billion Dollar Movie|Visioneers|The Comedians of Comedy,has_tags_inv
591,what films are about [merlin],Excalibur,has_tags_inv
592,what movies are about [intellectual],The Man from Earth,has_tags_inv
593,which movies are about [andrew bujalski],Computer Chess|Mutual Appreciation|Beeswax,has_tags_inv
594,what movies can be described by [guy pearce],"Memento|Iron Man 3|L.A. Confidential|Lawless|The Time Machine|The Count of Monte Cristo|Lockout|Traitor|Animal Kingdom|The Proposition|Seeking Justice|The Adventures of Priscilla, Queen of the Desert|The Rover|A Slipping-Down Life",has_tags_inv
595,what films are about [kirk douglas],Paths of Glory|Spartacus|Ace in the Hole|The Final Countdown|In Harm's Way|The War Wagon|A Letter to Three Wives|The Man from Snowy River|Lonely Are the Brave|The Strange Love of Martha Ivers|Cast a Giant Shadow|Strangers When We Meet,has_tags_inv
596,which movies can be described by [aidan quinn],Legends of the Fall,has_tags_inv
597,what films are about [mark neveldine],Crank|Gamer,has_tags_inv
598,what movies can be described by [paul w.s. anderson],Death Race,has_tags_inv
599,what movies are about [tom green],Freddy Got Fingered,has_tags_inv
600,which films can be described by [ian mcewan],Atonement|The Good Son|Enduring Love|The Cement Garden|The Comfort of Strangers|The Innocent,has_tags_inv
601,which movies can be described by [teenager],Juno|The Breakfast Club,has_tags_inv
602,what movies are about [john berry],Tension|Claudine|He Ran All the Way,has_tags_inv
603,which films can be described by [dragons],How to Train Your Dragon 2|Reign of Fire|Dragon Hunters|Dragonslayer|The Flight of Dragons|Age of the Dragons,has_tags_inv
604,what films can be described by [tatsuya nakadai],Ran|High and Low|The Sword of Doom|Kill!,has_tags_inv
605,which movies can be described by [makoto shinkai],5 Centimeters Per Second|The Place Promised in Our Early Days|Voices of a Distant Star|The Garden of Words,has_tags_inv
606,which movies are about [skyscraper],Die Hard,has_tags_inv
607,what movies are about [julie benz],Saw V|Jawbreaker,has_tags_inv
608,which films can be described by [david gordon green],Pineapple Express|The Sitter|Joe|Prince Avalanche|Snow Angels|All the Real Girls|Undertow|George Washington,has_tags_inv
609,which movies are about [bridget fonda],Jackie Brown|Single White Female|Little Buddha,has_tags_inv
610,what movies are about [angelina jolie],"Wanted|Kung Fu Panda|Salt|Maleficent|Changeling|The Tourist|Beowulf|Girl, Interrupted|The Bone Collector|The Good Shepherd|Taking Lives|Hackers|Original Sin|Gia|A Mighty Heart|Life or Something Like It",has_tags_inv
611,what films are about [john guillermin],The Towering Inferno|Death on the Nile|The Blue Max|Guns at Batasi,has_tags_inv
612,what movies can be described by [fiona shaw],My Left Foot|The Triumph of Love,has_tags_inv
613,what movies can be described by [rupert friend],The Young Victoria|Chéri,has_tags_inv
614,what movies are about [latin jazz],Calle 54,has_tags_inv
615,which movies can be described by [catherine deneuve],Dancer in the Dark|Repulsion|Belle de Jour|The Hunger|The Umbrellas of Cherbourg,has_tags_inv
616,what movies can be described by [agent],Paul|Jerry Maguire|Thunderball,has_tags_inv
617,what movies can be described by [napoleon dynamite],Napoleon Dynamite,has_tags_inv
618,which movies can be described by [danny boyle],Slumdog Millionaire|Trainspotting|127 Hours|Sunshine|The Beach|Trance|Shallow Grave|A Life Less Ordinary|Millions,has_tags_inv
619,what films can be described by [prom],Pretty in Pink,has_tags_inv
620,what films can be described by [rod taylor],The Birds|World Without End,has_tags_inv
621,what films can be described by [james ivory],The Remains of the Day|A Room with a View|Howards End|Maurice|Heat and Dust|The Europeans|Roseland|Bombay Talkie|Savages|The Householder,has_tags_inv
622,which movies can be described by [chuck jones],The Phantom Tollbooth,has_tags_inv
623,which films can be described by [friends],Friends with Kids|The Last Kiss,has_tags_inv
624,what movies can be described with [consciousness],Waking Life,has_tags_inv
625,which films are about [harold ramis],Groundhog Day|Ghostbusters|Analyze This|Bedazzled|Caddyshack|Year One|Analyze That|National Lampoon's Vacation|Stripes|Multiplicity|The Ice Harvest|Club Paradise|Stuart Saves His Family,has_tags_inv
626,what films can be described by [french film],Delicatessen|Coco Before Chanel|The Class|In the House|Romantics Anonymous|The Women on the 6th Floor|The Names of Love|My Best Friend|My Father's Glory|Intimate Strangers|My Mother's Castle|Wild Grass|Coup de tête|Man at Bath,has_tags_inv
627,which movies can be described by [the asylum],Battle of Los Angeles,has_tags_inv
628,which films can be described by [charlotte rampling],Swimming Pool,has_tags_inv
629,which films can be described by [antoine fuqua],Training Day|Shooter|Tears of the Sun|Brooklyn's Finest|Bait,has_tags_inv
630,which films are about [nicholas hytner],The History Boys|Center Stage|The Madness of King George,has_tags_inv
631,which films are about [bill forsyth],Local Hero|Gregory's Girl|Housekeeping|That Sinking Feeling,has_tags_inv
632,which films can be described by [housekeeper],The Remains of the Day,has_tags_inv
633,what films are about [atomic bomb],Rhapsody in August,has_tags_inv
634,which films are about [peter o'toole],Troy|Stardust|Lawrence of Arabia|The Lion in Winter|How to Steal a Million|Venus|Becket|My Favorite Year|The Stunt Man|The Ruling Class|The Night of the Generals|Man of La Mancha|Lord Jim|Murphy's War,has_tags_inv
635,what movies are about [divine],Pink Flamingos|Female Trouble,has_tags_inv
636,which movies are about [sinbad],The Golden Voyage of Sinbad|Sinbad and the Eye of the Tiger|Houseguest,has_tags_inv
637,what movies are about [superheroes],Spider-Man|The Incredibles|Watchmen|Superman|Mystery Men|Zoom,has_tags_inv
638,what movies can be described with [sergio corbucci],Django,has_tags_inv
639,what movies can be described with [sword and sorcery],Conan the Barbarian|Willow|Conan the Destroyer,has_tags_inv
640,what films are about [natalie portman],"V for Vendetta|Black Swan|Thor|Garden State|Closer|Mars Attacks!|No Strings Attached|Cold Mountain|Your Highness|Brothers|My Blueberry Nights|Hesher|New York, I Love You|Mr. Magorium's Wonder Emporium|Where the Heart Is|Beautiful Girls|The Other Woman",has_tags_inv
641,what movies are about [madeline kahn],"Young Frankenstein|Blazing Saddles|Clue|What's Up, Doc?",has_tags_inv
642,what movies can be described by [courtney love],Man on the Moon|The People vs. Larry Flynt|Trapped|200 Cigarettes,has_tags_inv
643,what movies can be described by [marlon brando],The Godfather|Apocalypse Now|Superman|The Score|On the Waterfront|A Streetcar Named Desire|Last Tango in Paris|The Island of Dr. Moreau|Guys and Dolls|Mutiny on the Bounty|The Wild One|The Brave|Julius Caesar|The Missouri Breaks|The Chase|Reflections in a Golden Eye,has_tags_inv
644,which movies are about [megan fox],Transformers|Teenage Mutant Ninja Turtles|Jennifer's Body|Jonah Hex|Friends with Kids|Crimes of Fashion,has_tags_inv
645,which movies can be described by [central intelligence agency],The Good Shepherd,has_tags_inv
646,which films are about [mission from god],The Blues Brothers,has_tags_inv
647,what movies can be described with [armando iannucci],In the Loop,has_tags_inv
648,what movies are about [jean arthur],Mr. Smith Goes to Washington|Mr. Deeds Goes to Town,has_tags_inv
649,which films are about [vampire],Twilight|Underworld|Dark Shadows|Van Helsing|Blade|Let the Right One In|Blade II|30 Days of Night|The Lost Boys|Let Me In|Fright Night|Queen of the Damned|Vampires|Shadow of the Vampire|Stake Land|Buffy the Vampire Slayer|Dracula|Near Dark|Nosferatu the Vampyre|Cronos|Once Bitten|We Are the Night|Dracula's Daughter|Vamp|House of Dracula|Vampyros Lesbos|Son of Dracula|Vampire in Venice,has_tags_inv
650,what films can be described by [imaginary friend],Drop Dead Fred,has_tags_inv
651,which movies can be described by [howard deutch],Pretty in Pink|My Best Friend's Girl|The Great Outdoors|Some Kind of Wonderful|Grumpier Old Men,has_tags_inv
652,which movies are about [karl malden],On the Waterfront|A Streetcar Named Desire|Patton|Pollyanna|The Hanging Tree,has_tags_inv
653,which movies can be described by [will arnett],Monsters vs. Aliens|Hot Rod|Let's Go to Prison|The Brothers Solomon,has_tags_inv
654,what movies are about [otto preminger],Anatomy of a Murder|Laura|Exodus|The Man with the Golden Arm|In Harm's Way|Bunny Lake Is Missing|Where the Sidewalk Ends|Angel Face|Carmen Jones|Fallen Angel|Bonjour Tristesse|The Court-Martial of Billy Mitchell|Porgy and Bess,has_tags_inv
